Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Deep learning model using classification for diabetic retinopathy detection: an overview,Artificial Intelligence Review,,,,10.1007/s10462-024-10806-2,Dharmalingam MuthusamyParimala Palani,2024,https://link.springer.com/article/10.1007/s10462-024-10806-2,Article
Computationally efficient deep learning models for diabetic retinopathy detection: a systematic literature review,Artificial Intelligence Review,,,,10.1007/s10462-024-10942-9,Nazeef Ul HaqTalha WaheedKashif IshaqMuhammad Awais HassanNurhizam SafieNur Fazidah EliasMuhammad Shoaib,2024,https://link.springer.com/article/10.1007/s10462-024-10942-9,Article
DR-RetinaNet: A Deep Learning Approach for Early Screening of Diabetic Retinopathy,Human-Centric Intelligent Systems,,,,10.1007/s44230-025-00114-5,Samia YasminMehedi HasanFariha JahanM. F. Mridha,2025,https://link.springer.com/article/10.1007/s44230-025-00114-5,Article
DR-MAE: Self-supervised learning for diabetic retinopathy grading based on masked autoencoder,Journal of King Saud University Computer and Information Sciences,,,,10.1007/s44443-025-00159-3,Yanyou RenDangguo ShaoSanli Yi,2025,https://link.springer.com/article/10.1007/s44443-025-00159-3,Article
Diabetic retinopathy detection using supervised and unsupervised deep learning: a review study,Artificial Intelligence Review,,,,10.1007/s10462-024-10770-x,Huma NazNeelu Jyothi AhujaRahul Nijhawan,2024,https://link.springer.com/article/10.1007/s10462-024-10770-x,Article
Early Detection and Severity Classification of Diabetic Retinopathy Using Convolutional Neural Networks,SN Computer Science,,,,10.1007/s42979-025-04361-y,S. A. KarthikM. N. GeethaK. PrabhavathiDhananjaya ShashankK. P. SuhaasM. Narender,2025,https://link.springer.com/article/10.1007/s42979-025-04361-y,Article
An efficient automatic diabetic retinopathy grading using a two-way cascaded convolution neural network,Discover Computing,,,,10.1007/s10791-024-09486-x,N. S. KavithaN. Kasthuri,2025,https://link.springer.com/article/10.1007/s10791-024-09486-x,Article
QDeepColonNet: a quantum-based deep learning network for colorectal cancer classification using attention-driven DenseNet and shuffled dynamic local feature extraction network,Artificial Intelligence Review,,,,10.1007/s10462-025-11295-7,Armaano AjayR. KarthikAkshaj Singh BishtAbhay Karan Singh,2025,https://link.springer.com/article/10.1007/s10462-025-11295-7,Article
A robust MRI-based brain tumor classification via a hybrid deep learning technique,The Journal of Supercomputing,,,,10.1007/s11227-023-05549-w,Shaimaa E. NassarIbrahim YasserHanan M. AmerMohamed A. Mohamed,2023,https://link.springer.com/article/10.1007/s11227-023-05549-w,Article
Current and future roles of artificial intelligence in retinopathy of prematurity,Artificial Intelligence Review,,,,10.1007/s10462-025-11153-6,Ali JafarizadehShadi Farabi MalekiParnia PouyaNavid SobhiMirsaeed AbdollahiSiamak PedrammehrChee Peng LimHoushyar AsadiRoohallah AlizadehsaniRu-San TanSheikh Mohammed Shariful IslamU. Rajendra Acharya,2025,https://link.springer.com/article/10.1007/s10462-025-11153-6,Article
